Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005201,0.0,97.4,2.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005694,0.0,95.0,5.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005708,0.0,91.7,8.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005716,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005724,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005759,0.0,86.4,13.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005767,0.0,85.7,14.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005783,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005791,0.0,94.1,5.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005805,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005988,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006020,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006038,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006348,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006364,0.0,93.8,6.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006372,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006380,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006402,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006429,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006437,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006461,0.0,100.0,0.0
